category,name,addr,website,website_domain,maps,phone,brand,lat,lon,osm_type,osm_id
shop=clothes,& Other Stories,Grafton Street Dublin,https://www.stories.com,stories.com,"https://www.google.com/maps/search/?api=1&query=53.3416662,-6.2600273",,& Other Stories,53.3416662,-6.2600273,node,5316314921
shop=clothes,99b (shop name),99b Rathgar Road,,,"https://www.google.com/maps/search/?api=1&query=53.3125894,-6.2739005",,,53.3125894,-6.2739005,node,2885644006
shop=clothes,A Store Is Born,34 Clarendon Street Dublin,https://www.astoreisborn.ie/,astoreisborn.ie,"https://www.google.com/maps/search/?api=1&query=53.3411597,-6.2622932",,,53.3411597,-6.2622932,node,12093934889
shop=clothes,ASHA,St. Stephen's Green Dublin,https://www.stephensgreen.com/dublin-shops/asha/,stephensgreen.com,"https://www.google.com/maps/search/?api=1&query=53.3399449,-6.2614642",,,53.3399449,-6.2614642,node,677596880
shop=clothes,Abrahams,17A Anne Street South Dublin,https://www.menswear.ie/,menswear.ie,"https://www.google.com/maps/search/?api=1&query=53.3410883,-6.258619",+353-1-6770000,,53.3410883,-6.258619,way,273206927
shop=clothes,Active Workwear,21 Corrig Road Sandyford D18 E4CR,https://activeworkwear.ie,activeworkwear.ie,"https://www.google.com/maps/search/?api=1&query=53.2766448,-6.2146914",+353 (0)1 5170196,,53.2766448,-6.2146914,node,11920046926
shop=clothes,Alice May Bridal,,https://www.alicemay.ie,alicemay.ie,"https://www.google.com/maps/search/?api=1&query=53.2665501,-6.1836419",+353 1 2950 006,,53.2665501,-6.1836419,node,10951811274
shop=clothes,All Occassions Boutique,Granby Row Dublin,,,"https://www.google.com/maps/search/?api=1&query=53.3539048,-6.2663228",+353 1 8735973,,53.3539048,-6.2663228,node,3052818969
shop=clothes,AllSaints,Coppinger Row Dublin,,,"https://www.google.com/maps/search/?api=1&query=53.342036,-6.2618055",,AllSaints,53.342036,-6.2618055,node,9707302377
shop=clothes,Alo,Grafton Street Dublin,https://www.aloyoga.com/en-ie/,aloyoga.com,"https://www.google.com/maps/search/?api=1&query=53.3406658,-6.2609524",,,53.3406658,-6.2609524,node,6185260271
shop=clothes,Ammara Boutique,Clanbrassil Street Upper Dublin,,,"https://www.google.com/maps/search/?api=1&query=53.3319494,-6.2749902",,,53.3319494,-6.2749902,node,3008717075
shop=clothes,Angelo Bridal,38 Dorset Street Lower Dublin,,,"https://www.google.com/maps/search/?api=1&query=53.3596012,-6.2611153",,,53.3596012,-6.2611153,node,1350207385
shop=clothes,Angels,,,,"https://www.google.com/maps/search/?api=1&query=53.3420258,-6.3529266",,,53.3420258,-6.3529266,node,8521097201
