category,name,addr,website,website_domain,maps,phone,brand,lat,lon,osm_type,osm_id
shop=clothes,& Other Stories,Grafton Street Dublin,https://www.stories.com,stories.com,"https://www.google.com/maps/search/?api=1&query=53.3416662,-6.2600273",,& Other Stories,53.3416662,-6.2600273,node,5316314921
shop=clothes,A Store Is Born,34 Clarendon Street Dublin,https://www.astoreisborn.ie/,astoreisborn.ie,"https://www.google.com/maps/search/?api=1&query=53.3411597,-6.2622932",,,53.3411597,-6.2622932,node,12093934889
shop=clothes,ASHA,St. Stephen's Green Dublin,https://www.stephensgreen.com/dublin-shops/asha/,stephensgreen.com,"https://www.google.com/maps/search/?api=1&query=53.3399449,-6.2614642",,,53.3399449,-6.2614642,node,677596880
shop=clothes,Abrahams,17A Anne Street South Dublin,https://www.menswear.ie/,menswear.ie,"https://www.google.com/maps/search/?api=1&query=53.3410883,-6.258619",+353-1-6770000,,53.3410883,-6.258619,way,273206927
shop=clothes,Active Workwear,21 Corrig Road Sandyford D18 E4CR,https://activeworkwear.ie,activeworkwear.ie,"https://www.google.com/maps/search/?api=1&query=53.2766448,-6.2146914",+353 (0)1 5170196,,53.2766448,-6.2146914,node,11920046926
shop=clothes,Alice May Bridal,,https://www.alicemay.ie,alicemay.ie,"https://www.google.com/maps/search/?api=1&query=53.2665501,-6.1836419",+353 1 2950 006,,53.2665501,-6.1836419,node,10951811274
shop=clothes,Alo,Grafton Street Dublin,https://www.aloyoga.com/en-ie/,aloyoga.com,"https://www.google.com/maps/search/?api=1&query=53.3406658,-6.2609524",,,53.3406658,-6.2609524,node,6185260271
shop=clothes,Aran Sweater Market,115 Grafton Street,https://www.aransweatermarket.com/,aransweatermarket.com,"https://www.google.com/maps/search/?api=1&query=53.343932,-6.2593989",,,53.343932,-6.2593989,node,4808088121
shop=clothes,Ashley Reeves,Stillorgan Village Shopping Centre,https://www.pamelascott.com/our-stores,pamelascott.com,"https://www.google.com/maps/search/?api=1&query=53.2891948,-6.2007376",+353-1-288-6276,,53.2891948,-6.2007376,node,4080241198
shop=clothes,Aston Formal Wear,Aston Place Dublin,https://astonformal.com/,astonformal.com,"https://www.google.com/maps/search/?api=1&query=53.3463902,-6.2607935",+353-1-6796100,,53.3463902,-6.2607935,node,1514294256
shop=clothes,Astrid & Miyu,Anne Street South Dublin,https://www.astridandmiyu.com/pages/dublin-boutique,astridandmiyu.com,"https://www.google.com/maps/search/?api=1&query=53.3412507,-6.2600662",,,53.3412507,-6.2600662,node,6187146935
shop=clothes,Barbara Kosznik,93 George's Street Lower Dún Laoghaire,https://kosznik.com/,kosznik.com,"https://www.google.com/maps/search/?api=1&query=53.2932563,-6.1380136",+353-1-280-6277,,53.2932563,-6.1380136,node,6179001919
shop=clothes,Beautiful South,Castlewood Avenue,http://www.beautifulsouth.ie/,beautifulsouth.ie,"https://www.google.com/maps/search/?api=1&query=53.3227568,-6.2641408",+353-87-2574901,,53.3227568,-6.2641408,node,5083380018
shop=clothes,Bershka,Jervis Street Dublin,https://www.bershka.com/ie/,bershka.com,"https://www.google.com/maps/search/?api=1&query=53.3484983,-6.2652725",,Bershka,53.3484983,-6.2652725,node,4711653160
shop=clothes,Best,St. Stephen's Green Dublin,https://www.bestmenswear.com/,bestmenswear.com,"https://www.google.com/maps/search/?api=1&query=53.3396425,-6.2612425",,,53.3396425,-6.2612425,node,12650724208
shop=clothes,Best Men's Wear,,https://www.bestmenswear.com,bestmenswear.com,"https://www.google.com/maps/search/?api=1&query=53.2866375,-6.2412765",,,53.2866375,-6.2412765,node,11940354097
shop=clothes,Best Mens Wear,Stillorgan Village Shopping Centre,https://www.bestmenswear.ie/,bestmenswear.ie,"https://www.google.com/maps/search/?api=1&query=53.2894339,-6.20069",+353-1-212-3692,,53.2894339,-6.20069,node,4080199826
shop=clothes,Bäumler,51a Dawson Street Dublin,https://www.baumlerdublin.com/,baumlerdublin.com,"https://www.google.com/maps/search/?api=1&query=53.3416788,-6.2584773",,,53.3416788,-6.2584773,way,268844931
shop=clothes,COS,Wicklow Street Dublin,https://www.cosstores.com/ie/,cosstores.com,"https://www.google.com/maps/search/?api=1&query=53.3428771,-6.2604359",,COS,53.3428771,-6.2604359,node,2826503844
shop=clothes,Camden Clothing,29 Camden Street Lower Dublin,https://camdenclothing.ie/,camdenclothing.ie,"https://www.google.com/maps/search/?api=1&query=53.3347637,-6.2649703",+353 1 4175961,,53.3347637,-6.2649703,node,2995007513
shop=clothes,Canada Goose,64 Grafton Street Dublin,https://www.canadagoose.com/ie/en/dublin-store.html,canadagoose.com,"https://www.google.com/maps/search/?api=1&query=53.340848,-6.2608691",,Canada Goose,53.340848,-6.2608691,way,249213113
shop=clothes,Castore,34 Grafton Street Dublin,https://castore.com/,castore.com,"https://www.google.com/maps/search/?api=1&query=53.3411318,-6.2603971",,,53.3411318,-6.2603971,node,4551064993
shop=clothes,Cath Kidston,Grafton Street Dublin,https://www.next.co.uk/cath-kidston,next.co.uk,"https://www.google.com/maps/search/?api=1&query=53.3431393,-6.259568",,,53.3431393,-6.259568,node,2826497092
shop=clothes,Choice,Old Dublin Road,https://www.choiceboutique.com/,choiceboutique.com,"https://www.google.com/maps/search/?api=1&query=53.2895402,-6.2009722",+353 1 2888 367,,53.2895402,-6.2009722,node,9893613891
shop=clothes,Coco Boutique,40 Clarendon Street Dublin,https://www.cocoboutique.ie/,cocoboutique.ie,"https://www.google.com/maps/search/?api=1&query=53.3414483,-6.2619972",,,53.3414483,-6.2619972,node,12093934894
shop=clothes,Columbia,Trinity Street Dublin,https://www.columbiasportswear.ie/,columbiasportswear.ie,"https://www.google.com/maps/search/?api=1&query=53.3437852,-6.2619448",,Columbia,53.3437852,-6.2619448,node,2988253830
